tid,text,datetime,lang,location,place,source,retweeted,user,q_text
1190820637142650882,"""They do nothing.""

A former worker for a Bronx affordable housing provider complained to the ""slumlords"" about mold, floo…",2019-11-03 02:38:58,en,perpetually in my element,,"""http://twitter.com/#!/download/ipad""",9,SweetKixx,worker
1190820584118087680,@BellaChristine_ we luv a hard worker 🥵😍,2019-11-03 02:38:46,en,,,"""http://twitter.com/download/iphone""",0,vanessag06_,worker
1190820519672717317,March on; worker bees; know your; enemy https://t.co/pIvF2u7pO1,2019-11-03 02:38:30,en,Brazil,,"""http://twitter.com/download/iphone""",0,wkrueger,worker
1190820506829762560,"Believe in people, support them &amp; help them develop their talents - they will achieve great things. A lovely example of an #nhs worker, a valuable part of the team that delivers our service 💪 #forthemany https://t.co/9zKdnoOSqZ",2019-11-03 02:38:27,en,"Hendon, London",,"""http://twitter.com/download/iphone""",0,HendonLabour,worker
1190820498818637825,"@RealTimBlack What about a guy who’s been a government worker HIS WHOLE LIFE?

#PartOfTheProblem
#CareerPolitician
#TermLimits",2019-11-03 02:38:25,en,United States of America,,"""https://mobile.twitter.com""",0,Rolandvanking,worker
1190820404627066880,Lebanon: Uber driver gets death sentence for murder of British embassy worker https://t.co/8EG7PRRfcz,2019-11-03 02:38:03,en,India,,"""http://twitter.com/download/android""",1,Swami_843,worker
1190820402035081218,"And LEGAL guest worker pipelines, refugee racket, TPS scam, U visa fraud, EB-5 cash for cronies, OPT cheap labor, green…",2019-11-03 02:38:02,en,,,"""http://twitter.com/download/android""",248,KShoatzbey,worker
1190820273227853824,Production Worker https://t.co/RzL2VnYb4h #Personal_Protective_Equipment,2019-11-03 02:37:32,en,,,"""https://dlvrit.com/""",0,egurujobs,worker
1190820269826301954,"“My daughter is a social worker! 
I wish I’d raised one Republican kid who makes real money!” @JoeBiden 

This is a window…",2019-11-03 02:37:31,en,"Idaho, USA",,"""https://mobile.twitter.com""",96,AmyJensen65,worker
1190820228546093056,Dead federal worker pulled from the Potomac has ties to Hillary Clinton. Kurt Smolek used to work for the Clinton state…,2019-11-03 02:37:21,en,Iowa,,"""https://mobile.twitter.com""",479,UchtTom,worker
1190820209453457408,"Increasing global trends to tackle #workerabuses in its worst forms, while the minor abuses are left untouched. The root of #labourexploitation is in our economic system. 

Interview: Failure to tackle worker abuse breeds modern slavery,... https://t.co/j9RaZ4zdZg",2019-11-03 02:37:16,en,,,"""http://twitter.com/download/iphone""",0,kitasitikorn,worker
1190820175446204416,@SenStabenow @SenateDems The Dems are working to destroy bargained worker's healthcare with crazy unaffordable Medicare for a…,2019-11-03 02:37:08,en,Washington on the Brazos ,,"""http://twitter.com/download/android""",2,Texans4U,worker
1190820142441213953,@BarnettforAZ @monica_sassy Any State Worker in any state using their position at work to promote any party or individu…,2019-11-03 02:37:00,en,United States,,"""http://twitter.com/download/android""",4,JustMe22714292,worker
1190820083708375043,So well deserved for THE hardest worker I know. Your love and passion for this game is amazing Em! Keep it up girl @emdixon4 💛💛 https://t.co/Ssbgw0R8Tw,2019-11-03 02:36:46,en,"Emporia, KS",,"""http://twitter.com/download/iphone""",0,Allieeeee20,worker
1190820067988127744,"Houston,

Before 2014, I was a baseball player without a home. A seasonal worker who had put 200,000+ miles on my Honda…",2019-11-03 02:36:43,en,Streets,,"""http://twitter.com/download/iphone""",1840,officialchapa23,worker
1190821744908656640,"Me 45mins in my 30min break while my workplace is in chaos
 https://t.co/Y7ktwYaUJI",2019-11-03 02:43:23,en,London,,"""http://twitter.com/download/iphone""",26392,_Denaaxo,workplace
1190821619926736896,"I feel for black women in the workplace. Of course, I cannot speak firsthand on what it is like being a black woman in the wo…",2019-11-03 02:42:53,en,ATX✌️,,"""http://twitter.com/download/iphone""",53,CreCre_theG,workplace
1190821615224971264,I can guarantee my success in school is what led to my internship and eventual hiring. Treat school like your first job. Be pr…,2019-11-03 02:42:52,en,Internet,,"""https://twitter.com/sanchitkum""",1,ifindinternship,workplace
1190821533704429568,"Every workplace has a Garry...

@GardnerMinshew5 | #DUUUVAL https://t.co/4YkbKuJKfn",2019-11-03 02:42:32,en,"Gainesville, FL",,"""http://twitter.com/download/android""",199,Haletn13,workplace
1190821454339825664,"Positioning #women to succeed early in their careers is key to helping them secure more senior #leadership roles, according t…",2019-11-03 02:42:13,en,,,"""http://twitter.com/download/android""",129,indiend2,workplace
1190821428360294400,"*Rent due
*Car note due
*Workplace stressful
*Family trippin
*Friends acting funny 
*Money low

Me: 
 https://t.co/sVLYYyx…",2019-11-03 02:42:07,en,United Kingdom,,"""http://twitter.com/download/iphone""",29836,Florri_J,workplace
1190821300794576896,I can guarantee my success in school is what led to my internship and eventual hiring. Treat school like your first job. Be professional and courteous but also hungry to learn and grow and be challenged. Then take that into the workplace and you will thrive. https://t.co/iISltymxPC,2019-11-03 02:41:37,en,"Vancouver, British Columbia",,"""http://twitter.com/#!/download/ipad""",1,Kerm0de,workplace
1190821295371571200,"I'm a beat producer in Lagos Nigeria,
I'm looking for a studio in Lagos that is need of a beat producer that I can work at…",2019-11-03 02:41:35,en,a block from Heaven,,"""http://twitter.com/download/android""",816,rhythmxpoetry_,workplace
1190821159480131585,"So Australian voters sold out their civil liberties, welfare safety net, free medical, climate action, workplace rights,…",2019-11-03 02:41:03,en,,,"""http://twitter.com/download/iphone""",12,MariRhydwen,workplace
1190821154803605505,Why Workplace Friendships are Good for You (and How to Form Them) https://t.co/FttEfwZVvC via @hubspot https://t.co/eSFSXubuct,2019-11-03 02:41:02,en,"Houston, TX",,"""https://buffer.com""",0,Bulkly,workplace
